"X201728"	"XNextWeek1"	"XNextWeek2"	"XNextWeek3"
"10880"	45550,6480383337	52151,6183640662	75597,0960012874	59787,7616707341
"10882"	37191,0687949345	50270,2466809531	103730,678836562	79527,6835193569
"10885"	166791,885998505	374628,128414478	796058,659166408	293988,934971609
"10893"	94380,3017491775	161021,500906035	163850,598891422	70942,4517343367
"10898"	64942,9778330009	122552,064285926	72988,7555992822	32229,8380355927
"10914"	343475,584875041	404310,477449773	379062,480994043	133001,918159129
"10933"	460323,36091518	616674,718197995	703909,925305937	476498,719928584
"10960"	63787,9691118774	72674,5664882024	105701,301998476	87181,3922316185
"10961"	52934,4100319905	60872,3408080522	87630,5046445978	71376,8144385244
"10963"	417652,378290257	917781,215701934	860104,12669093	320324,666565159
"10964"	418126,282306395	918017,969201347	844984,697252886	316785,373971238
"10966"	63939,4173676751	73476,336154147	106581,957725797	86974,8358604961
"10968"	420958,893250246	874941,554195654	891648,664765782	307813,382382276
"10970"	404726,149627264	819897,455144168	853223,206038049	302180,337898561
"10971"	174981,016868736	214472,783378641	287835,488907617	243931,075450529
"10974"	573535,887228825	938262,155517786	1385004,59863189	504908,142782769
"10983"	282339,175337298	307100,6110251	443373,584501877	413102,277905836
"10986"	309964,748023487	330722,781870054	483131,980744997	451463,279777637
"10989"	322999,540915111	343160,377088396	502058,985510034	471864,066543279
"10990"	1838086,25840006	3170401,29062337	3481182,44648414	791055,189401561
"10992"	170457,581106337	307854,262607251	311942,578659571	124269,859322054
"10995"	117283,560381749	205082,743137918	196752,127352789	79533,5610855901
"10996"	1359349,97373714	1736577,50080619	1863066,47869113	654711,362402519
"10998"	303028,727717135	336431,365394903	518237,91562717	403061,696360023
"11001"	390716,569039198	383260,526786078	606658,092887686	492030,797507635
"11002"	95740,7525215793	162233,462511996	154548,259179543	62686,3834783409
"11004"	451011,843268971	575504,414044491	755886,814391454	814230,307088976
"11015"	342684,452265706	653932,579002391	969325,491695903	567111,956020509
"11016"	498972,870434318	633137,631091967	875121,39911526	1098847,64617903
"11035"	95429,4115624707	161657,962930384	153941,925967697	62415,9981664035
"11039"	338791,287017607	332725,265030855	505036,443486591	417279,700028759
"11041"	1466154,95748986	2057728,80692823	3103073,1197773	5582127,34102897
"11042"	267944,354212542	245134,728930889	376017,449275	349820,489667251
"11072"	319048,823562107	552118,453896749	626480,152975699	209040,005370662
"11073"	416678,56157438	606582,716344489	601225,406840812	163568,83020405
"11074"	476150,327086239	693534,289402829	687833,939265213	185680,757373592
"11075"	195360,962414775	292258,837515403	273314,440858284	100851,397137403
"11076"	654779,832027313	956764,718658241	948863,609684691	251848,963570838
"11077"	209856,409646706	315661,76822759	291864,4603979	113381,938357422
"11081"	401084,950584573	597409,102998524	567556,929643185	193622,272256495
"11087"	478977,707086115	708712,824042803	686153,017304774	212026,437747407
"11088"	393297,022324368	595736,977927422	550271,605160378	211273,751471723
"11089"	490806,588018988	722758,929232096	703788,00957247	212986,341391829
"11112"	41165,7595644492	86865,6685128999	157236,927166267	81039,1237139188
"11115"	79431,753537107	259458,680753405	291092,412948778	178493,548280685
"11116"	96016,140383212	276049,509258014	294646,297867128	177757,797627568
"11117"	83021,3646115504	317601,373614807	396565,43689409	253658,417299847
"11119"	71771,3644743045	274945,470329455	361363,469100403	231270,413186447
